Cultivars;Niv. de sens.;Trait;Al;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;Experience
VIV;Faible;inoc;10;8284;7;66;50539;2577;35;2835;4905;2107;78;2
VIV;Faible;inoc;10;9012;8;57;56862;2910;41;3232;5353;2232;75;2
VIV;Faible;inoc;10;10494;10;58;61744;3146;52;4154;5764;2309;87;2
VIV;Faible;inoc;10;13241;13;81;71727;3214;64;3377;5386;2352;113;2
TUR;Moyen;inoc;10;6320;7;42;42125;2944;40;4012;5030;1408;59;2
TUR;Moyen;inoc;18;6526;7;54;42939;2874;33;4063;4873;1419;60;2
TUR;Moyen;inoc;10;6274;9;40;41218;2832;33;4409;4782;1338;58;2
TUR;Moyen;inoc;10;5646;9;44;37426;2606;35;3745;4430;1322;59;2
ROM;Moyen;inoc;10;9237;8;54;51153;3359;31;5103;5593;2077;79;2
ROM;Moyen;inoc;10;8393;8;48;44509;3376;33;4587;5000;1963;76;2
ROM;Moyen;inoc;10;8853;9;50;44300;3411;30;4470;4915;1890;75;2
ROM;Moyen;inoc;10;8422;8;52;50288;3371;31;4423;5731;2156;74;2
HOC;Élevé;inoc;10;7487;8;78;44876;2696;38;4421;4783;1939;61;2
HOC;Élevé;inoc;10;7557;10;57;43427;2784;37;4617;4715;1921;61;2
HOC;Élevé;inoc;10;6993;9;76;42700;2790;36;4750;4441;2709;76;2
HOC;Élevé;inoc;18;6930;9;63;41346;2329;28;3994;4026;1742;61;2
EST;Élevé;inoc;10;11358;9;78;54677;2944;34;3777;5196;2264;69;2
EST;Élevé;inoc;15;11111;8;65;49289;2831;36;3730;4943;2157;70;2
EST;Élevé;inoc;10;12565;9;66;58772;3200;40;3999;5743;2554;87;2
EST;Élevé;inoc;10;13336;10;70;63562;3322;36;4086;6312;2637;82;2
BRG;Élevé;inoc;12;10341;12;88;70349;3031;37;5170;6807;2730;91;2
BRG;Élevé;inoc;10;8988;9;64;57861;2762;39;4543;5536;2324;80;2
